"Status","Date and Time","Response Time (ms)","Error","Location"
"up","10/12/2017 11:59:24PM","166 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 11:58:24PM","91 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 11:57:24PM","241 ms","OK","Athens (Greece)"
"up","10/12/2017 11:56:24PM","586 ms","OK","Zurich (Switzerland)"
"up","10/12/2017 11:55:24PM","64 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 11:54:24PM","100 ms","OK","Toronto 5 (Canada)"
"up","10/12/2017 11:53:24PM","124 ms","OK","St. Louis 3 (MO)"
"up","10/12/2017 11:52:24PM","63 ms","OK","Philadelphia (PA)"
"up","10/12/2017 11:51:24PM","86 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 11:50:24PM","143 ms","OK","London (UK)"
"up","10/12/2017 11:49:24PM","377 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 11:48:24PM","98 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 11:47:24PM","243 ms","OK","Athens (Greece)"
"up","10/12/2017 11:46:24PM","578 ms","OK","Zurich (Switzerland)"
"up","10/12/2017 11:45:24PM","28 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 11:44:24PM","155 ms","OK","Toronto 5 (Canada)"
"up","10/12/2017 11:43:24PM","132 ms","OK","St. Louis 3 (MO)"
"up","10/12/2017 11:42:24PM","65 ms","OK","Philadelphia (PA)"
"up","10/12/2017 11:41:24PM","74 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 11:40:24PM","72 ms","OK","London (UK)"
"up","10/12/2017 11:39:24PM","195 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 11:38:24PM","179 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 11:37:24PM","247 ms","OK","Athens (Greece)"
"up","10/12/2017 11:36:24PM","595 ms","OK","Zurich (Switzerland)"
"up","10/12/2017 11:35:24PM","48 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 11:34:24PM","114 ms","OK","Toronto 5 (Canada)"
"up","10/12/2017 11:33:24PM","103 ms","OK","St. Louis 3 (MO)"
"up","10/12/2017 11:32:24PM","350 ms","OK","Philadelphia (PA)"
"up","10/12/2017 11:31:24PM","122 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 11:30:24PM","112 ms","OK","London (UK)"
"up","10/12/2017 11:29:24PM","231 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 11:28:24PM","136 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 11:27:24PM","611 ms","OK","Athens (Greece)"
"up","10/12/2017 11:26:24PM","705 ms","OK","Zurich (Switzerland)"
"up","10/12/2017 11:25:24PM","26 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 11:24:24PM","220 ms","OK","Toronto 5 (Canada)"
"up","10/12/2017 11:23:24PM","489 ms","OK","St. Louis 3 (MO)"
"up","10/12/2017 11:22:24PM","76 ms","OK","Philadelphia (PA)"
"up","10/12/2017 11:21:24PM","121 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 11:20:24PM","78 ms","OK","London (UK)"
"up","10/12/2017 11:19:24PM","186 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 11:18:24PM","110 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 11:17:24PM","247 ms","OK","Athens (Greece)"
"up","10/12/2017 11:16:24PM","678 ms","OK","Zurich (Switzerland)"
"up","10/12/2017 11:15:24PM","66 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 11:14:24PM","366 ms","OK","Toronto 5 (Canada)"
"up","10/12/2017 11:13:24PM","115 ms","OK","St. Louis 3 (MO)"
"up","10/12/2017 11:12:24PM","57 ms","OK","Philadelphia (PA)"
"up","10/12/2017 11:11:24PM","118 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 11:10:24PM","228 ms","OK","London (UK)"
"up","10/12/2017 11:09:24PM","100 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 11:08:24PM","53 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 11:07:24PM","241 ms","OK","Athens (Greece)"
"up","10/12/2017 11:06:24PM","674 ms","OK","Zurich (Switzerland)"
"up","10/12/2017 11:05:24PM","55 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 11:04:24PM","95 ms","OK","Toronto 5 (Canada)"
"up","10/12/2017 11:03:24PM","109 ms","OK","St. Louis 3 (MO)"
"up","10/12/2017 11:02:24PM","86 ms","OK","Philadelphia (PA)"
"up","10/12/2017 11:01:24PM","137 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 11:00:24PM","68 ms","OK","London (UK)"
"up","10/12/2017 10:59:24PM","109 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 10:58:24PM","68 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 10:57:24PM","356 ms","OK","Athens (Greece)"
"up","10/12/2017 10:56:24PM","583 ms","OK","Zurich (Switzerland)"
"up","10/12/2017 10:55:24PM","74 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 10:54:24PM","265 ms","OK","Toronto 5 (Canada)"
"up","10/12/2017 10:53:24PM","107 ms","OK","St. Louis 3 (MO)"
"up","10/12/2017 10:52:24PM","60 ms","OK","Philadelphia (PA)"
"up","10/12/2017 10:51:24PM","78 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 10:50:24PM","95 ms","OK","London (UK)"
"up","10/12/2017 10:49:24PM","138 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 10:48:24PM","91 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 10:47:24PM","615 ms","OK","Athens (Greece)"
"up","10/12/2017 10:46:24PM","642 ms","OK","Zurich (Switzerland)"
"up","10/12/2017 10:45:24PM","96 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 10:44:24PM","132 ms","OK","Toronto 5 (Canada)"
"up","10/12/2017 10:43:24PM","106 ms","OK","St. Louis 3 (MO)"
"up","10/12/2017 10:42:24PM","32 ms","OK","Philadelphia (PA)"
"up","10/12/2017 10:41:24PM","149 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 10:40:24PM","59 ms","OK","London (UK)"
"up","10/12/2017 10:39:24PM","105 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 10:38:24PM","65 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 10:37:24PM","249 ms","OK","Athens (Greece)"
"up","10/12/2017 10:36:24PM","630 ms","OK","Zurich (Switzerland)"
"up","10/12/2017 10:35:24PM","89 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 10:34:24PM","135 ms","OK","Toronto 5 (Canada)"
"up","10/12/2017 10:33:24PM","102 ms","OK","St. Louis 3 (MO)"
"up","10/12/2017 10:32:24PM","47 ms","OK","Philadelphia (PA)"
"up","10/12/2017 10:31:24PM","76 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 10:30:24PM","300 ms","OK","London (UK)"
"up","10/12/2017 10:29:24PM","72 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 10:28:24PM","67 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 10:27:24PM","604 ms","OK","Athens (Greece)"
