"Status","Date and Time","Response Time (ms)","Error","Location"
"up","10/12/2017 11:59:58PM","126 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 11:58:58PM","331 ms","OK","Charlotte 2 (NC)"
"up","10/12/2017 11:57:58PM","141 ms","OK","Dallas (TX)"
"up","10/12/2017 11:56:58PM","174 ms","OK","Seattle 2)"
"up","10/12/2017 11:55:58PM","69 ms","OK","Strasbourg 6 (France)"
"up","10/12/2017 11:54:58PM","97 ms","OK","Matawan (NJ)"
"up","10/12/2017 11:53:58PM","51 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 11:52:58PM","175 ms","OK","Falkenberg (Sweden)"
"up","10/12/2017 11:51:58PM","190 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 11:50:58PM","69 ms","OK","Los Angeles (CA)"
"up","10/12/2017 11:49:58PM","95 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 11:48:58PM","167 ms","OK","Charlotte 2 (NC)"
"up","10/12/2017 11:47:58PM","124 ms","OK","Dallas (TX)"
"up","10/12/2017 11:46:58PM","137 ms","OK","Seattle 2)"
"up","10/12/2017 11:45:58PM","124 ms","OK","Strasbourg 6 (France)"
"up","10/12/2017 11:44:58PM","141 ms","OK","Matawan (NJ)"
"up","10/12/2017 11:43:58PM","30 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 11:42:58PM","105 ms","OK","Falkenberg (Sweden)"
"up","10/12/2017 11:41:58PM","112 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 11:40:58PM","38 ms","OK","Los Angeles (CA)"
"up","10/12/2017 11:39:58PM","92 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 11:38:58PM","154 ms","OK","Charlotte 2 (NC)"
"up","10/12/2017 11:37:58PM","182 ms","OK","Dallas (TX)"
"up","10/12/2017 11:36:58PM","206 ms","OK","Seattle 2)"
"up","10/12/2017 11:35:58PM","94 ms","OK","Strasbourg 6 (France)"
"up","10/12/2017 11:34:58PM","116 ms","OK","Matawan (NJ)"
"up","10/12/2017 11:33:58PM","29 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 11:32:58PM","178 ms","OK","Falkenberg (Sweden)"
"up","10/12/2017 11:31:58PM","229 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 11:30:58PM","48 ms","OK","Los Angeles (CA)"
"up","10/12/2017 11:29:58PM","90 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 11:28:58PM","177 ms","OK","Charlotte 2 (NC)"
"up","10/12/2017 11:27:58PM","273 ms","OK","Dallas (TX)"
"up","10/12/2017 11:26:58PM","254 ms","OK","Seattle 2)"
"up","10/12/2017 11:25:58PM","51 ms","OK","Strasbourg 6 (France)"
"up","10/12/2017 11:24:58PM","98 ms","OK","Matawan (NJ)"
"up","10/12/2017 11:23:58PM","24 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 11:22:58PM","166 ms","OK","Falkenberg (Sweden)"
"up","10/12/2017 11:21:58PM","118 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 11:20:58PM","75 ms","OK","Los Angeles (CA)"
"up","10/12/2017 11:19:58PM","208 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 11:18:58PM","226 ms","OK","Charlotte 2 (NC)"
"up","10/12/2017 11:17:58PM","103 ms","OK","Dallas (TX)"
"up","10/12/2017 11:16:58PM","232 ms","OK","Seattle 2)"
"up","10/12/2017 11:15:58PM","76 ms","OK","Strasbourg 6 (France)"
"up","10/12/2017 11:14:58PM","159 ms","OK","Matawan (NJ)"
"up","10/12/2017 11:13:58PM","42 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 11:12:58PM","210 ms","OK","Falkenberg (Sweden)"
"up","10/12/2017 11:11:58PM","214 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 11:10:58PM","69 ms","OK","Los Angeles (CA)"
"up","10/12/2017 11:09:58PM","77 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 11:08:58PM","161 ms","OK","Charlotte 2 (NC)"
"up","10/12/2017 11:07:58PM","171 ms","OK","Dallas (TX)"
"up","10/12/2017 11:06:58PM","82 ms","OK","Seattle 2)"
"up","10/12/2017 11:05:58PM","101 ms","OK","Strasbourg 6 (France)"
"up","10/12/2017 11:04:58PM","81 ms","OK","Matawan (NJ)"
"up","10/12/2017 11:03:58PM","36 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 11:02:58PM","201 ms","OK","Falkenberg (Sweden)"
"up","10/12/2017 11:01:58PM","97 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 11:00:58PM","156 ms","OK","Los Angeles (CA)"
"up","10/12/2017 10:59:58PM","108 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 10:58:58PM","147 ms","OK","Charlotte 2 (NC)"
"up","10/12/2017 10:57:58PM","189 ms","OK","Dallas (TX)"
"up","10/12/2017 10:56:58PM","282 ms","OK","Seattle 2)"
"up","10/12/2017 10:55:58PM","76 ms","OK","Strasbourg 6 (France)"
"up","10/12/2017 10:54:58PM","95 ms","OK","Matawan (NJ)"
"up","10/12/2017 10:53:58PM","25 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 10:52:58PM","204 ms","OK","Falkenberg (Sweden)"
"up","10/12/2017 10:51:58PM","254 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 10:50:58PM","94 ms","OK","Los Angeles (CA)"
"up","10/12/2017 10:49:58PM","78 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 10:48:58PM","174 ms","OK","Charlotte 2 (NC)"
"up","10/12/2017 10:47:58PM","60 ms","OK","Dallas (TX)"
"up","10/12/2017 10:46:58PM","287 ms","OK","Seattle 2)"
"up","10/12/2017 10:45:58PM","103 ms","OK","Strasbourg 6 (France)"
"up","10/12/2017 10:44:58PM","211 ms","OK","Matawan (NJ)"
"up","10/12/2017 10:43:58PM","46 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 10:42:58PM","173 ms","OK","Falkenberg (Sweden)"
"up","10/12/2017 10:41:58PM","129 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 10:40:58PM","39 ms","OK","Los Angeles (CA)"
"up","10/12/2017 10:39:58PM","114 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 10:38:58PM","300 ms","OK","Charlotte 2 (NC)"
"up","10/12/2017 10:37:58PM","260 ms","OK","Dallas (TX)"
"up","10/12/2017 10:36:58PM","91 ms","OK","Seattle 2)"
"up","10/12/2017 10:35:58PM","89 ms","OK","Strasbourg 6 (France)"
"up","10/12/2017 10:34:58PM","160 ms","OK","Matawan (NJ)"
"up","10/12/2017 10:33:58PM","53 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 10:32:58PM","175 ms","OK","Falkenberg (Sweden)"
"up","10/12/2017 10:31:58PM","140 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 10:30:58PM","59 ms","OK","Los Angeles (CA)"
"up","10/12/2017 10:29:58PM","134 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 10:28:58PM","166 ms","OK","Charlotte 2 (NC)"
"up","10/12/2017 10:27:58PM","58 ms","OK","Dallas (TX)"
"up","10/12/2017 10:26:58PM","271 ms","OK","Seattle 2)"
"up","10/12/2017 10:25:58PM","102 ms","OK","Strasbourg 6 (France)"
"up","10/12/2017 10:24:58PM","100 ms","OK","Matawan (NJ)"
"up","10/12/2017 10:23:58PM","60 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 10:22:58PM","333 ms","OK","Falkenberg (Sweden)"
"up","10/12/2017 10:21:58PM","98 ms","OK","Tampa 2 (FL)"
