"Status","Date and Time","Response Time (ms)","Error","Location"
"up","10/12/2017 11:59:10PM","153 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 11:58:10PM","87 ms","OK","Chicago (IL)"
"up","10/12/2017 11:57:10PM","105 ms","OK","Copenhagen 2 (Denmark)"
"up","10/12/2017 11:56:10PM","152 ms","OK","Dallas (TX)"
"up","10/12/2017 11:55:10PM","306 ms","OK","New York (NY)"
"up","10/12/2017 11:54:10PM","143 ms","OK","Frankfurt (Germany)"
"up","10/12/2017 11:53:10PM","168 ms","OK","Seattle 2)"
"up","10/12/2017 11:52:10PM","186 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 11:51:10PM","204 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 11:50:10PM","78 ms","OK","London (UK)"
"up","10/12/2017 11:49:10PM","51 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 11:48:10PM","1,063 ms","OK","Chicago (IL)"
"up","10/12/2017 11:47:10PM","221 ms","OK","Copenhagen 2 (Denmark)"
"up","10/12/2017 11:46:10PM","141 ms","OK","Dallas (TX)"
"up","10/12/2017 11:45:10PM","43 ms","OK","New York (NY)"
"up","10/12/2017 11:44:10PM","154 ms","OK","Frankfurt (Germany)"
"up","10/12/2017 11:43:10PM","290 ms","OK","Seattle 2)"
"up","10/12/2017 11:42:10PM","215 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 11:41:10PM","49 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 11:40:10PM","262 ms","OK","London (UK)"
"up","10/12/2017 11:39:10PM","169 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 11:38:10PM","50 ms","OK","Chicago (IL)"
"up","10/12/2017 11:37:10PM","153 ms","OK","Copenhagen 2 (Denmark)"
"up","10/12/2017 11:36:10PM","234 ms","OK","Dallas (TX)"
"up","10/12/2017 11:35:10PM","94 ms","OK","New York (NY)"
"up","10/12/2017 11:34:10PM","173 ms","OK","Frankfurt (Germany)"
"up","10/12/2017 11:33:10PM","318 ms","OK","Seattle 2)"
"up","10/12/2017 11:32:10PM","71 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 11:31:10PM","76 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 11:30:10PM","206 ms","OK","London (UK)"
"up","10/12/2017 11:29:10PM","84 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 11:28:10PM","125 ms","OK","Chicago (IL)"
"up","10/12/2017 11:27:10PM","217 ms","OK","Copenhagen 2 (Denmark)"
"up","10/12/2017 11:26:10PM","47 ms","OK","Dallas (TX)"
"up","10/12/2017 11:25:10PM","40 ms","OK","New York (NY)"
"up","10/12/2017 11:24:10PM","122 ms","OK","Frankfurt (Germany)"
"up","10/12/2017 11:23:10PM","248 ms","OK","Seattle 2)"
"up","10/12/2017 11:22:10PM","110 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 11:21:10PM","401 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 11:20:10PM","96 ms","OK","London (UK)"
"up","10/12/2017 11:19:10PM","140 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 11:18:10PM","88 ms","OK","Chicago (IL)"
"up","10/12/2017 11:17:10PM","103 ms","OK","Copenhagen 2 (Denmark)"
"up","10/12/2017 11:16:10PM","191 ms","OK","Dallas (TX)"
"up","10/12/2017 11:15:10PM","91 ms","OK","New York (NY)"
"up","10/12/2017 11:14:10PM","246 ms","OK","Frankfurt (Germany)"
"up","10/12/2017 11:13:10PM","177 ms","OK","Seattle 2)"
"up","10/12/2017 11:12:10PM","106 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 11:11:10PM","50 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 11:10:10PM","204 ms","OK","London (UK)"
"up","10/12/2017 11:09:10PM","23 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 11:08:10PM","72 ms","OK","Chicago (IL)"
"up","10/12/2017 11:07:10PM","205 ms","OK","Copenhagen 2 (Denmark)"
