"Status","Date and Time","Response Time (ms)","Error","Location"
"up","10/12/2017 11:59:05PM","87 ms","OK","Chicago (IL)"
"up","10/12/2017 11:58:05PM","329 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 11:57:05PM","244 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 11:56:05PM","293 ms","OK","Philadelphia 2 (PA)"
"up","10/12/2017 11:55:05PM","201 ms","OK","Phoenix (AZ)"
"up","10/12/2017 11:54:05PM","111 ms","OK","Stockholm (Sweden)"
"up","10/12/2017 11:53:05PM","135 ms","OK","London (UK)"
"up","10/12/2017 11:52:05PM","251 ms","OK","Seattle 2)"
"up","10/12/2017 11:51:05PM","163 ms","OK","San Jose (CA)"
"up","10/12/2017 11:50:05PM","51 ms","OK","Matawan 2 (NJ)"
"up","10/12/2017 11:49:05PM","242 ms","OK","Chicago (IL)"
"up","10/12/2017 11:48:05PM","189 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 11:47:05PM","89 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 11:46:05PM","69 ms","OK","Philadelphia 2 (PA)"
"up","10/12/2017 11:45:05PM","186 ms","OK","Phoenix (AZ)"
"up","10/12/2017 11:44:05PM","36 ms","OK","Stockholm (Sweden)"
"up","10/12/2017 11:43:05PM","155 ms","OK","London (UK)"
"up","10/12/2017 11:42:05PM","425 ms","OK","Seattle 2)"
"up","10/12/2017 11:41:05PM","313 ms","OK","San Jose (CA)"
"up","10/12/2017 11:40:05PM","37 ms","OK","Matawan 2 (NJ)"
"up","10/12/2017 11:39:05PM","119 ms","OK","Chicago (IL)"
"up","10/12/2017 11:38:05PM","173 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 11:37:05PM","225 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 11:36:05PM","295 ms","OK","Philadelphia 2 (PA)"
"up","10/12/2017 11:35:05PM","123 ms","OK","Phoenix (AZ)"
"up","10/12/2017 11:34:05PM","37 ms","OK","Stockholm (Sweden)"
"up","10/12/2017 11:33:05PM","361 ms","OK","London (UK)"
"up","10/12/2017 11:32:05PM","138 ms","OK","Seattle 2)"
"up","10/12/2017 11:31:05PM","124 ms","OK","San Jose (CA)"
"up","10/12/2017 11:30:05PM","87 ms","OK","Matawan 2 (NJ)"
"up","10/12/2017 11:29:05PM","119 ms","OK","Chicago (IL)"
"up","10/12/2017 11:28:05PM","191 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 11:27:05PM","105 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 11:26:05PM","325 ms","OK","Philadelphia 2 (PA)"
"up","10/12/2017 11:25:05PM","316 ms","OK","Phoenix (AZ)"
"up","10/12/2017 11:24:05PM","41 ms","OK","Stockholm (Sweden)"
"up","10/12/2017 11:23:05PM","626 ms","OK","London (UK)"
"up","10/12/2017 11:22:05PM","147 ms","OK","Seattle 2)"
"up","10/12/2017 11:21:05PM","61 ms","OK","San Jose (CA)"
"up","10/12/2017 11:20:05PM","208 ms","OK","Matawan 2 (NJ)"
"up","10/12/2017 11:19:05PM","110 ms","OK","Chicago (IL)"
"up","10/12/2017 11:18:05PM","189 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 11:17:05PM","163 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 11:16:05PM","176 ms","OK","Philadelphia 2 (PA)"
"up","10/12/2017 11:15:05PM","123 ms","OK","Phoenix (AZ)"
"up","10/12/2017 11:14:05PM","38 ms","OK","Stockholm (Sweden)"
"up","10/12/2017 11:13:05PM","407 ms","OK","London (UK)"
"up","10/12/2017 11:12:05PM","415 ms","OK","Seattle 2)"
"up","10/12/2017 11:11:05PM","108 ms","OK","San Jose (CA)"
"up","10/12/2017 11:10:05PM","32 ms","OK","Matawan 2 (NJ)"
"up","10/12/2017 11:09:05PM","37 ms","OK","Chicago (IL)"
"up","10/12/2017 11:08:05PM","187 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 11:07:05PM","144 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 11:06:05PM","301 ms","OK","Philadelphia 2 (PA)"
"up","10/12/2017 11:05:05PM","196 ms","OK","Phoenix (AZ)"
"up","10/12/2017 11:04:05PM","63 ms","OK","Stockholm (Sweden)"
"up","10/12/2017 11:03:05PM","409 ms","OK","London (UK)"
"up","10/12/2017 11:02:05PM","163 ms","OK","Seattle 2)"
"up","10/12/2017 11:01:05PM","77 ms","OK","San Jose (CA)"
"up","10/12/2017 11:00:05PM","168 ms","OK","Matawan 2 (NJ)"
"up","10/12/2017 10:59:05PM","65 ms","OK","Chicago (IL)"
"up","10/12/2017 10:58:05PM","319 ms","OK","Las Vegas 3 (NV)"
"up","10/12/2017 10:57:05PM","84 ms","OK","St. Louis 2 (MO)"
"up","10/12/2017 10:56:05PM","150 ms","OK","Philadelphia 2 (PA)"
"up","10/12/2017 10:55:05PM","203 ms","OK","Phoenix (AZ)"
"up","10/12/2017 10:54:05PM","130 ms","OK","Stockholm (Sweden)"
"up","10/12/2017 10:53:05PM","464 ms","OK","London (UK)"
"up","10/12/2017 10:52:05PM","233 ms","OK","Seattle 2)"
"up","10/12/2017 10:51:05PM","148 ms","OK","San Jose (CA)"
"up","10/12/2017 10:50:05PM","88 ms","OK","Matawan 2 (NJ)"
"up","10/12/2017 10:49:05PM","240 ms","OK","Chicago (IL)"
