"Status","Date and Time","Response Time (ms)","Error","Location"
"up","10/17/2017 07:45:28AM","328 ms","OK","Atlanta (GA)"
"up","10/17/2017 07:44:28AM","100 ms","OK","London 3 (UK)"
"up","10/17/2017 07:43:28AM","97 ms","OK","Amsterdam 4 (Netherlands)"
"up","10/17/2017 07:42:28AM","65 ms","OK","Strasbourg 5 (France)"
"up","10/17/2017 07:41:28AM","318 ms","OK","Frankfurt (Germany)"
"up","10/17/2017 07:40:28AM","95 ms","OK","London (UK)"
"up","10/17/2017 07:39:28AM","314 ms","OK","Chicago (IL)"
"up","10/17/2017 07:38:28AM","257 ms","OK","Las Vegas 3 (NV)"
"up","10/17/2017 07:37:28AM","70 ms","OK","St. Louis 3 (MO)"
"up","10/17/2017 07:36:28AM","379 ms","OK","Los Angeles 2 (CA)"
"up","10/17/2017 07:35:28AM","324 ms","OK","Atlanta (GA)"
"up","10/17/2017 07:34:28AM","65 ms","OK","London 3 (UK)"
"up","10/17/2017 07:32:28AM","113 ms","OK","Strasbourg 5 (France)"
"up","10/17/2017 07:31:28AM","123 ms","OK","Frankfurt (Germany)"
"up","10/17/2017 07:30:28AM","112 ms","OK","London (UK)"
"up","10/17/2017 07:29:28AM","144 ms","OK","Chicago (IL)"
"up","10/17/2017 07:28:28AM","93 ms","OK","St. Louis 3 (MO)"
"up","10/17/2017 07:27:28AM","134 ms","OK","Los Angeles 2 (CA)"
"up","10/17/2017 07:26:28AM","304 ms","OK","Atlanta (GA)"
"up","10/17/2017 07:25:28AM","71 ms","OK","London 3 (UK)"
"up","10/17/2017 07:24:28AM","113 ms","OK","Amsterdam 4 (Netherlands)"
"up","10/17/2017 07:23:28AM","145 ms","OK","Vienna (Austria)"
"up","10/17/2017 07:22:28AM","57 ms","OK","Strasbourg 5 (France)"
"up","10/17/2017 07:21:28AM","125 ms","OK","Frankfurt (Germany)"
"up","10/17/2017 07:20:28AM","82 ms","OK","London (UK)"
"up","10/17/2017 07:19:28AM","204 ms","OK","Chicago (IL)"
"up","10/17/2017 07:18:28AM","107 ms","OK","St. Louis 3 (MO)"
"up","10/17/2017 07:17:28AM","157 ms","OK","Los Angeles 2 (CA)"
"up","10/17/2017 07:16:28AM","318 ms","OK","Atlanta (GA)"
"up","10/17/2017 07:15:28AM","69 ms","OK","London 3 (UK)"
"up","10/17/2017 07:14:28AM","105 ms","OK","Amsterdam 4 (Netherlands)"
"up","10/17/2017 07:13:28AM","173 ms","OK","Vienna (Austria)"
"up","10/17/2017 07:12:28AM","78 ms","OK","Strasbourg 5 (France)"
"up","10/17/2017 07:11:28AM","90 ms","OK","Frankfurt (Germany)"
"up","10/17/2017 07:10:28AM","87 ms","OK","London (UK)"
"up","10/17/2017 07:09:28AM","262 ms","OK","Chicago (IL)"
"up","10/17/2017 07:08:28AM","68 ms","OK","St. Louis 3 (MO)"
"up","10/17/2017 07:07:28AM","147 ms","OK","Los Angeles 2 (CA)"
"up","10/17/2017 07:06:28AM","318 ms","OK","Atlanta (GA)"
"up","10/17/2017 07:05:28AM","805 ms","OK","London 3 (UK)"
"up","10/17/2017 07:04:28AM","100 ms","OK","Amsterdam 4 (Netherlands)"
"up","10/17/2017 07:03:28AM","125 ms","OK","Vienna (Austria)"
"up","10/17/2017 07:02:28AM","86 ms","OK","Strasbourg 5 (France)"
"up","10/17/2017 07:01:28AM","210 ms","OK","Frankfurt (Germany)"
"up","10/17/2017 07:00:28AM","189 ms","OK","London (UK)"
"up","10/17/2017 06:59:28AM","174 ms","OK","Chicago (IL)"
"up","10/17/2017 06:58:28AM","90 ms","OK","St. Louis 3 (MO)"
"up","10/17/2017 06:57:28AM","189 ms","OK","Los Angeles 2 (CA)"
"up","10/17/2017 06:56:28AM","335 ms","OK","Atlanta (GA)"
"up","10/17/2017 06:55:28AM","67 ms","OK","London 3 (UK)"
"up","10/17/2017 06:54:28AM","116 ms","OK","Amsterdam 4 (Netherlands)"
"up","10/17/2017 06:53:28AM","182 ms","OK","Vienna (Austria)"
"up","10/17/2017 06:52:28AM","80 ms","OK","Strasbourg 5 (France)"
"up","10/17/2017 06:51:28AM","229 ms","OK","Frankfurt (Germany)"
"up","10/17/2017 06:50:28AM","118 ms","OK","London (UK)"
"up","10/17/2017 06:49:28AM","265 ms","OK","Chicago (IL)"
"up","10/17/2017 06:48:28AM","76 ms","OK","St. Louis 3 (MO)"
"up","10/17/2017 06:47:28AM","120 ms","OK","Los Angeles 2 (CA)"
"up","10/17/2017 06:46:28AM","739 ms","OK","Atlanta (GA)"
"up","10/17/2017 06:45:28AM","70 ms","OK","London 3 (UK)"
"up","10/17/2017 06:44:28AM","113 ms","OK","Amsterdam 4 (Netherlands)"
"up","10/17/2017 06:43:28AM","145 ms","OK","Vienna (Austria)"
"up","10/17/2017 06:42:28AM","71 ms","OK","Strasbourg 5 (France)"
"up","10/17/2017 06:41:28AM","265 ms","OK","Frankfurt (Germany)"
"up","10/17/2017 06:40:28AM","99 ms","OK","London (UK)"
"up","10/17/2017 06:39:28AM","191 ms","OK","Chicago (IL)"
"up","10/17/2017 06:38:28AM","116 ms","OK","St. Louis 3 (MO)"
"up","10/17/2017 06:37:28AM","116 ms","OK","Los Angeles 2 (CA)"
"up","10/17/2017 06:36:28AM","306 ms","OK","Atlanta (GA)"
"up","10/17/2017 06:35:28AM","87 ms","OK","London 3 (UK)"
"up","10/17/2017 06:34:28AM","107 ms","OK","Amsterdam 4 (Netherlands)"
"up","10/17/2017 06:33:28AM","129 ms","OK","Vienna (Austria)"
"up","10/17/2017 06:32:28AM","50 ms","OK","Strasbourg 5 (France)"
"up","10/17/2017 06:31:28AM","86 ms","OK","Frankfurt (Germany)"
"up","10/17/2017 06:30:28AM","122 ms","OK","London (UK)"
"up","10/17/2017 06:29:28AM","120 ms","OK","Chicago (IL)"
"up","10/17/2017 06:28:28AM","73 ms","OK","St. Louis 3 (MO)"
"up","10/17/2017 06:27:28AM","145 ms","OK","Los Angeles 2 (CA)"
"up","10/17/2017 06:26:28AM","314 ms","OK","Atlanta (GA)"
"up","10/17/2017 06:25:28AM","67 ms","OK","London 3 (UK)"
"up","10/17/2017 06:24:28AM","109 ms","OK","Amsterdam 4 (Netherlands)"
"up","10/17/2017 06:23:28AM","203 ms","OK","Vienna (Austria)"
"up","10/17/2017 06:22:28AM","90 ms","OK","Strasbourg 5 (France)"
"up","10/17/2017 06:21:28AM","80 ms","OK","Frankfurt (Germany)"
"up","10/17/2017 06:20:28AM","168 ms","OK","London (UK)"
"up","10/17/2017 06:19:28AM","77 ms","OK","Chicago (IL)"
"up","10/17/2017 06:18:28AM","72 ms","OK","St. Louis 3 (MO)"
"up","10/17/2017 06:17:28AM","168 ms","OK","Los Angeles 2 (CA)"
"up","10/17/2017 06:16:28AM","336 ms","OK","Atlanta (GA)"
"up","10/17/2017 06:15:28AM","751 ms","OK","London 3 (UK)"
"up","10/17/2017 06:14:28AM","114 ms","OK","Amsterdam 4 (Netherlands)"
"up","10/17/2017 06:13:28AM","136 ms","OK","Vienna (Austria)"
"up","10/17/2017 06:12:28AM","55 ms","OK","Strasbourg 5 (France)"
"up","10/17/2017 06:11:28AM","125 ms","OK","Frankfurt (Germany)"
"up","10/17/2017 06:10:28AM","204 ms","OK","London (UK)"
"up","10/17/2017 06:09:28AM","201 ms","OK","Chicago (IL)"
"up","10/17/2017 06:08:28AM","75 ms","OK","St. Louis 3 (MO)"
"up","10/17/2017 06:07:28AM","191 ms","OK","Los Angeles 2 (CA)"
"up","10/17/2017 06:06:28AM","542 ms","OK","Atlanta (GA)"
"up","10/17/2017 06:05:28AM","76 ms","OK","London 3 (UK)"
"up","10/17/2017 06:04:28AM","169 ms","OK","Amsterdam 4 (Netherlands)"
"up","10/17/2017 06:03:28AM","171 ms","OK","Vienna (Austria)"
"up","10/17/2017 06:02:28AM","88 ms","OK","Strasbourg 5 (France)"
"up","10/17/2017 06:01:28AM","237 ms","OK","Frankfurt (Germany)"
"up","10/17/2017 06:00:28AM","120 ms","OK","London (UK)"
"up","10/17/2017 05:59:28AM","278 ms","OK","Chicago (IL)"
"up","10/17/2017 05:58:28AM","99 ms","OK","St. Louis 3 (MO)"
"up","10/17/2017 05:57:28AM","175 ms","OK","Los Angeles 2 (CA)"
"up","10/17/2017 05:56:28AM","306 ms","OK","Atlanta (GA)"
"up","10/17/2017 05:55:28AM","66 ms","OK","London 3 (UK)"
"up","10/17/2017 05:54:28AM","126 ms","OK","Amsterdam 4 (Netherlands)"
"up","10/17/2017 05:53:28AM","141 ms","OK","Vienna (Austria)"
"up","10/17/2017 05:52:28AM","82 ms","OK","Strasbourg 5 (France)"
"up","10/17/2017 05:51:28AM","155 ms","OK","Frankfurt (Germany)"
"up","10/17/2017 05:50:28AM","211 ms","OK","London (UK)"
"up","10/17/2017 05:49:28AM","210 ms","OK","Chicago (IL)"
"up","10/17/2017 05:48:28AM","136 ms","OK","St. Louis 3 (MO)"
"up","10/17/2017 05:47:28AM","118 ms","OK","Los Angeles 2 (CA)"
"up","10/17/2017 05:46:28AM","309 ms","OK","Atlanta (GA)"
"up","10/17/2017 05:45:28AM","76 ms","OK","London 3 (UK)"
"up","10/17/2017 05:44:28AM","109 ms","OK","Amsterdam 4 (Netherlands)"
"up","10/17/2017 05:43:28AM","128 ms","OK","Vienna (Austria)"
"up","10/17/2017 05:42:28AM","105 ms","OK","Strasbourg 5 (France)"
"up","10/17/2017 05:41:28AM","51 ms","OK","Frankfurt (Germany)"
"up","10/17/2017 05:40:28AM","292 ms","OK","London (UK)"
"up","10/17/2017 05:39:28AM","179 ms","OK","Chicago (IL)"
"up","10/17/2017 05:38:28AM","101 ms","OK","St. Louis 3 (MO)"
"up","10/17/2017 05:37:28AM","125 ms","OK","Los Angeles 2 (CA)"
"up","10/17/2017 05:36:28AM","304 ms","OK","Atlanta (GA)"
"up","10/17/2017 05:35:28AM","73 ms","OK","London 3 (UK)"
"up","10/17/2017 05:34:28AM","101 ms","OK","Amsterdam 4 (Netherlands)"
"up","10/17/2017 05:33:28AM","340 ms","OK","Vienna (Austria)"
"up","10/17/2017 05:32:28AM","81 ms","OK","Strasbourg 5 (France)"
"up","10/17/2017 05:31:28AM","112 ms","OK","Frankfurt (Germany)"
"up","10/17/2017 05:30:28AM","118 ms","OK","London (UK)"
"up","10/17/2017 05:29:28AM","125 ms","OK","Chicago (IL)"
"up","10/17/2017 05:28:28AM","90 ms","OK","St. Louis 3 (MO)"
"up","10/17/2017 05:27:28AM","127 ms","OK","Los Angeles 2 (CA)"
"up","10/17/2017 05:26:28AM","304 ms","OK","Atlanta (GA)"
"up","10/17/2017 05:25:28AM","600 ms","OK","London 3 (UK)"
"up","10/17/2017 05:24:28AM","93 ms","OK","Amsterdam 4 (Netherlands)"
"up","10/17/2017 05:23:28AM","125 ms","OK","Vienna (Austria)"
"up","10/17/2017 05:22:28AM","144 ms","OK","Strasbourg 5 (France)"
"up","10/17/2017 05:21:28AM","170 ms","OK","Frankfurt (Germany)"
"up","10/17/2017 05:20:28AM","83 ms","OK","London (UK)"
"up","10/17/2017 05:19:28AM","284 ms","OK","Chicago (IL)"
"up","10/17/2017 05:18:28AM","72 ms","OK","St. Louis 3 (MO)"
"up","10/17/2017 05:17:28AM","124 ms","OK","Los Angeles 2 (CA)"
"up","10/17/2017 05:16:28AM","334 ms","OK","Atlanta (GA)"
"up","10/17/2017 05:15:28AM","86 ms","OK","London 3 (UK)"
"up","10/17/2017 05:14:28AM","143 ms","OK","Amsterdam 4 (Netherlands)"
"up","10/17/2017 05:13:28AM","171 ms","OK","Vienna (Austria)"
"up","10/17/2017 05:12:28AM","84 ms","OK","Strasbourg 5 (France)"
"up","10/17/2017 05:11:28AM","366 ms","OK","Frankfurt (Germany)"
"up","10/17/2017 05:10:28AM","246 ms","OK","London (UK)"
"up","10/17/2017 05:09:28AM","291 ms","OK","Chicago (IL)"
"up","10/17/2017 05:08:28AM","75 ms","OK","St. Louis 3 (MO)"
"up","10/17/2017 05:07:28AM","164 ms","OK","Los Angeles 2 (CA)"
"up","10/17/2017 05:06:28AM","307 ms","OK","Atlanta (GA)"
"up","10/17/2017 05:05:28AM","74 ms","OK","London 3 (UK)"
"up","10/17/2017 05:04:28AM","96 ms","OK","Amsterdam 4 (Netherlands)"
"up","10/17/2017 05:03:28AM","150 ms","OK","Vienna (Austria)"
"up","10/17/2017 05:02:28AM","54 ms","OK","Strasbourg 5 (France)"
"up","10/17/2017 05:01:28AM","199 ms","OK","Frankfurt (Germany)"
"up","10/17/2017 05:00:28AM","153 ms","OK","London (UK)"
"up","10/17/2017 04:59:28AM","112 ms","OK","Chicago (IL)"
"up","10/17/2017 04:58:28AM","81 ms","OK","St. Louis 3 (MO)"
"up","10/17/2017 04:57:28AM","169 ms","OK","Los Angeles 2 (CA)"
"up","10/17/2017 04:56:28AM","305 ms","OK","Atlanta (GA)"
"up","10/17/2017 04:55:28AM","90 ms","OK","London 3 (UK)"
"up","10/17/2017 04:54:28AM","106 ms","OK","Amsterdam 4 (Netherlands)"
"up","10/17/2017 04:53:28AM","161 ms","OK","Vienna (Austria)"
"up","10/17/2017 04:52:28AM","116 ms","OK","Strasbourg 5 (France)"
"up","10/17/2017 04:51:28AM","47 ms","OK","Frankfurt (Germany)"
"up","10/17/2017 04:50:28AM","306 ms","OK","London (UK)"
"up","10/17/2017 04:49:28AM","382 ms","OK","Chicago (IL)"
"up","10/17/2017 04:48:28AM","99 ms","OK","St. Louis 3 (MO)"
"up","10/17/2017 04:47:28AM","134 ms","OK","Los Angeles 2 (CA)"
"up","10/17/2017 04:46:28AM","314 ms","OK","Atlanta (GA)"
"up","10/17/2017 04:45:28AM","75 ms","OK","London 3 (UK)"
"up","10/17/2017 04:44:28AM","154 ms","OK","Amsterdam 4 (Netherlands)"
"up","10/17/2017 04:43:28AM","171 ms","OK","Vienna (Austria)"
"up","10/17/2017 04:42:28AM","89 ms","OK","Strasbourg 5 (France)"
"up","10/17/2017 04:41:28AM","69 ms","OK","Frankfurt (Germany)"
"up","10/17/2017 04:40:28AM","203 ms","OK","London (UK)"
"up","10/17/2017 04:39:28AM","255 ms","OK","Chicago (IL)"
"up","10/17/2017 04:38:28AM","106 ms","OK","St. Louis 3 (MO)"
"up","10/17/2017 04:37:28AM","122 ms","OK","Los Angeles 2 (CA)"
"up","10/17/2017 04:36:28AM","324 ms","OK","Atlanta (GA)"
"up","10/17/2017 04:35:28AM","628 ms","OK","London 3 (UK)"
"up","10/17/2017 04:34:28AM","109 ms","OK","Amsterdam 4 (Netherlands)"
"up","10/17/2017 04:33:28AM","143 ms","OK","Vienna (Austria)"
"up","10/17/2017 04:32:28AM","87 ms","OK","Strasbourg 5 (France)"
"up","10/17/2017 04:31:28AM","126 ms","OK","Frankfurt (Germany)"
"up","10/17/2017 04:30:28AM","163 ms","OK","London (UK)"
"up","10/17/2017 04:29:28AM","343 ms","OK","Chicago (IL)"
"up","10/17/2017 04:28:28AM","103 ms","OK","St. Louis 3 (MO)"
"up","10/17/2017 04:27:28AM","139 ms","OK","Los Angeles 2 (CA)"
"up","10/17/2017 04:26:28AM","312 ms","OK","Atlanta (GA)"
"up","10/17/2017 04:25:28AM","68 ms","OK","London 3 (UK)"
"up","10/17/2017 04:24:28AM","97 ms","OK","Amsterdam 4 (Netherlands)"
"up","10/17/2017 04:23:28AM","169 ms","OK","Vienna (Austria)"
"up","10/17/2017 04:22:28AM","135 ms","OK","Strasbourg 5 (France)"
"up","10/17/2017 04:21:28AM","170 ms","OK","Frankfurt (Germany)"
"up","10/17/2017 04:20:28AM","78 ms","OK","London (UK)"
"up","10/17/2017 04:19:28AM","233 ms","OK","Chicago (IL)"
"up","10/17/2017 04:18:28AM","69 ms","OK","St. Louis 3 (MO)"
"up","10/17/2017 04:17:28AM","169 ms","OK","Los Angeles 2 (CA)"
"up","10/17/2017 04:16:28AM","301 ms","OK","Atlanta (GA)"
"up","10/17/2017 04:15:28AM","61 ms","OK","London 3 (UK)"
"up","10/17/2017 04:14:28AM","87 ms","OK","Amsterdam 4 (Netherlands)"
"up","10/17/2017 04:13:28AM","145 ms","OK","Vienna (Austria)"
"up","10/17/2017 04:12:28AM","99 ms","OK","Strasbourg 5 (France)"
"up","10/17/2017 04:11:28AM","53 ms","OK","Frankfurt (Germany)"
"up","10/17/2017 04:10:28AM","391 ms","OK","London (UK)"
"up","10/17/2017 04:09:28AM","38 ms","OK","Chicago (IL)"
"up","10/17/2017 04:08:28AM","101 ms","OK","St. Louis 3 (MO)"
"up","10/17/2017 04:07:28AM","161 ms","OK","Los Angeles 2 (CA)"
"up","10/17/2017 04:06:28AM","313 ms","OK","Atlanta (GA)"
"up","10/17/2017 04:05:28AM","71 ms","OK","London 3 (UK)"
"up","10/17/2017 04:04:28AM","91 ms","OK","Amsterdam 4 (Netherlands)"
"up","10/17/2017 04:03:28AM","133 ms","OK","Vienna (Austria)"
"up","10/17/2017 04:02:28AM","135 ms","OK","Strasbourg 5 (France)"
"up","10/17/2017 04:01:28AM","49 ms","OK","Frankfurt (Germany)"
"up","10/17/2017 04:00:28AM","493 ms","OK","London (UK)"
"up","10/17/2017 03:59:28AM","342 ms","OK","Chicago (IL)"
"up","10/17/2017 03:58:28AM","86 ms","OK","St. Louis 3 (MO)"
"up","10/17/2017 03:57:28AM","251 ms","OK","Los Angeles 2 (CA)"
"up","10/17/2017 03:56:28AM","303 ms","OK","Atlanta (GA)"
"up","10/17/2017 03:55:28AM","72 ms","OK","London 3 (UK)"
"up","10/17/2017 03:54:28AM","93 ms","OK","Amsterdam 4 (Netherlands)"
"up","10/17/2017 03:53:28AM","170 ms","OK","Vienna (Austria)"
"up","10/17/2017 03:52:28AM","58 ms","OK","Strasbourg 5 (France)"
"up","10/17/2017 03:51:28AM","147 ms","OK","Frankfurt (Germany)"
"up","10/17/2017 03:50:28AM","128 ms","OK","London (UK)"
"up","10/17/2017 03:49:28AM","335 ms","OK","Chicago (IL)"
"up","10/17/2017 03:48:28AM","74 ms","OK","St. Louis 3 (MO)"
"up","10/17/2017 03:47:28AM","137 ms","OK","Los Angeles 2 (CA)"
"up","10/17/2017 03:46:28AM","306 ms","OK","Atlanta (GA)"
"up","10/17/2017 03:45:28AM","560 ms","OK","London 3 (UK)"
"up","10/17/2017 03:44:28AM","107 ms","OK","Amsterdam 4 (Netherlands)"
"up","10/17/2017 03:43:28AM","158 ms","OK","Vienna (Austria)"
"up","10/17/2017 03:42:28AM","51 ms","OK","Strasbourg 5 (France)"
"up","10/17/2017 03:41:28AM","45 ms","OK","Frankfurt (Germany)"
"up","10/17/2017 03:40:28AM","180 ms","OK","London (UK)"
"up","10/17/2017 03:39:28AM","208 ms","OK","Chicago (IL)"
"up","10/17/2017 03:38:28AM","81 ms","OK","St. Louis 3 (MO)"
"up","10/17/2017 03:37:28AM","137 ms","OK","Los Angeles 2 (CA)"
"up","10/17/2017 03:36:28AM","303 ms","OK","Atlanta (GA)"
"up","10/17/2017 03:35:28AM","76 ms","OK","London 3 (UK)"
"up","10/17/2017 03:34:28AM","128 ms","OK","Amsterdam 4 (Netherlands)"
"up","10/17/2017 03:33:28AM","257 ms","OK","Vienna (Austria)"
"up","10/17/2017 03:32:28AM","77 ms","OK","Strasbourg 5 (France)"
"up","10/17/2017 03:31:28AM","57 ms","OK","Frankfurt (Germany)"
"up","10/17/2017 03:30:28AM","174 ms","OK","London (UK)"
"up","10/17/2017 03:29:28AM","197 ms","OK","Chicago (IL)"
"up","10/17/2017 03:28:28AM","65 ms","OK","St. Louis 3 (MO)"
"up","10/17/2017 03:27:28AM","154 ms","OK","Los Angeles 2 (CA)"
"up","10/17/2017 03:26:28AM","327 ms","OK","Atlanta (GA)"
"up","10/17/2017 03:25:28AM","66 ms","OK","London 3 (UK)"
"up","10/17/2017 03:24:28AM","124 ms","OK","Amsterdam 4 (Netherlands)"
"up","10/17/2017 03:23:28AM","137 ms","OK","Vienna (Austria)"
"up","10/17/2017 03:22:28AM","149 ms","OK","Strasbourg 5 (France)"
"up","10/17/2017 03:21:28AM","127 ms","OK","Frankfurt (Germany)"
"up","10/17/2017 03:20:28AM","216 ms","OK","London (UK)"
"up","10/17/2017 03:19:28AM","278 ms","OK","Chicago (IL)"
"up","10/17/2017 03:18:28AM","85 ms","OK","St. Louis 3 (MO)"
"up","10/17/2017 03:17:28AM","155 ms","OK","Los Angeles 2 (CA)"
"up","10/17/2017 03:16:28AM","310 ms","OK","Atlanta (GA)"
"up","10/17/2017 03:15:28AM","85 ms","OK","London 3 (UK)"
"up","10/17/2017 03:14:28AM","142 ms","OK","Amsterdam 4 (Netherlands)"
"up","10/17/2017 03:13:28AM","164 ms","OK","Vienna (Austria)"
"up","10/17/2017 03:12:28AM","68 ms","OK","Strasbourg 5 (France)"
"up","10/17/2017 03:11:28AM","302 ms","OK","Frankfurt (Germany)"
"up","10/17/2017 03:10:28AM","162 ms","OK","London (UK)"
"up","10/17/2017 03:09:28AM","306 ms","OK","Chicago (IL)"
"up","10/17/2017 03:08:28AM","112 ms","OK","St. Louis 3 (MO)"
"up","10/17/2017 03:07:28AM","130 ms","OK","Los Angeles 2 (CA)"
"up","10/17/2017 03:06:28AM","323 ms","OK","Atlanta (GA)"
"up","10/17/2017 03:05:28AM","93 ms","OK","London 3 (UK)"
"up","10/17/2017 03:04:28AM","102 ms","OK","Amsterdam 4 (Netherlands)"
"up","10/17/2017 03:03:28AM","168 ms","OK","Vienna (Austria)"
"up","10/17/2017 03:02:28AM","129 ms","OK","Strasbourg 5 (France)"
"up","10/17/2017 03:01:28AM","147 ms","OK","Frankfurt (Germany)"
"up","10/17/2017 03:00:28AM","314 ms","OK","London (UK)"
"up","10/17/2017 02:59:28AM","350 ms","OK","Chicago (IL)"
"up","10/17/2017 02:58:28AM","89 ms","OK","St. Louis 3 (MO)"
"up","10/17/2017 02:57:28AM","142 ms","OK","Los Angeles 2 (CA)"
